Kabupaten/Kota,Periode,Luas Panen,Curah Hujan,Kelembapan,Suhu,Kecepatan Angin,Sinar Matahari,Produksi
Kabupaten Pacitan,Januari 2018,807.0,375.1,86.16,25.24,15.08,6.22,3113.91
Kabupaten Pacitan,Februari 2018,2219.0,235.4,86.57,25.15,13.43,8.64,9298.99
Kabupaten Pacitan,Maret 2018,4762.0,200.3,86.74,25.48,10.48,9.9,22928.59
Kabupaten Pacitan,April 2018,2415.0,120.7,85.33,25.92,12.8,10.67,12468.81
Kabupaten Pacitan,Mei 2018,1518.0,10.0,79.16,25.8,18.06,10.78,7102.87
Kabupaten Pacitan,Juni 2018,2221.0,31.7,80.93,24.94,18.75,10.4,9847.13
Kabupaten Pacitan,Juli 2018,2825.0,10.0,79.94,23.57,19.57,10.65,13351.29
Kabupaten Pacitan,Agustus 2018,1114.0,31.5,80.71,23.36,18.96,10.27,5124.13
Kabupaten Pacitan,September 2018,556.0,55.7,82.57,24.09,17.38,10.54,2533.14
Kabupaten Pacitan,Oktober 2018,431.0,50.5,81.39,25.22,17.28,10.83,1927.78
Kabupaten Pacitan,November 2018,169.0,262.8,88.23,25.42,12.76,8.67,772.21
Kabupaten Pacitan,Desember 2018,275.0,406.8,86.97,25.44,14.34,7.44,1215.59
Kabupaten Pacitan,Januari 2019,1527.0,465.6,87.32,25.67,13.79,8.29,8211.96
Kabupaten Pacitan,Februari 2019,2717.0,155.9,88.14,25.79,10.54,9.58,4235.64
Kabupaten Pacitan,Maret 2019,6150.0,494.4,88.39,25.47,11.61,7.48,49222.47
Kabupaten Pacitan,April 2019,2976.0,127.5,87.47,25.92,12.88,9.77,95494.03
Kabupaten Pacitan,Mei 2019,1210.0,22.3,82.9,25.57,18.03,10.93,16975.96
Kabupaten Pacitan,Juni 2019,1489.0,6.0,80.37,24.18,18.52,10.78,7896.26
Kabupaten Pacitan,Juli 2019,2671.0,15.5,81.39,23.6,20.3,10.62,61478.44
Kabupaten Pacitan,Agustus 2019,1063.0,17.1,81.1,23.29,19.96,10.68,48982.81
Kabupaten Pacitan,September 2019,113.0,10.5,80.33,23.75,20.32,10.9,9070.65
Kabupaten Pacitan,Oktober 2019,121.0,17.5,80.74,25.3,17.49,11.06,1955.68
Kabupaten Pacitan,November 2019,351.0,68.7,82.57,25.86,13.72,10.56,1460.41
Kabupaten Pacitan,Desember 2019,117.0,173.1,86.35,26.38,10.4,9.39,17221.19
Kabupaten Pacitan,Januari 2020,33.0,257.9,87.0,25.99,12.72,9.07,157.82
Kabupaten Pacitan,Februari 2020,609.0,291.9,88.41,25.96,11.52,7.66,2748.34
Kabupaten Pacitan,Maret 2020,798.0,433.5,89.13,25.99,11.27,7.92,3585.16
Kabupaten Pacitan,April 2020,8484.0,183.0,88.0,26.13,10.86,9.63,36544.03
Kabupaten Pacitan,Mei 2020,2828.0,256.0,86.68,26.05,14.15,9.35,12084.42
Kabupaten Pacitan,Juni 2020,1195.0,98.5,87.57,24.81,17.15,10.34,5084.02
Kabupaten Pacitan,Juli 2020,1297.0,26.0,84.65,24.13,19.25,10.44,5480.04
Kabupaten Pacitan,Agustus 2020,2299.0,31.2,84.39,24.21,18.4,10.58,9975.33
Kabupaten Pacitan,September 2020,570.0,56.0,84.5,24.83,19.36,10.68,2673.08
Kabupaten Pacitan,Oktober 2020,521.0,189.2,89.42,24.86,15.38,9.23,2507.78
Kabupaten Pacitan,November 2020,224.0,241.1,88.77,25.57,12.98,8.3,1067.66
Kabupaten Pacitan,Desember 2020,433.0,447.0,87.61,25.27,12.6,6.98,2033.22
Kabupaten Pacitan,Januari 2021,539.0,513.3,87.55,25.25,12.31,6.46,2359.12
Kabupaten Pacitan,Februari 2021,3807.0,387.8,86.75,25.47,13.61,7.51,16374.32
Kabupaten Pacitan,Maret 2021,5240.0,212.2,87.23,25.58,11.51,9.12,25093.73
Kabupaten Pacitan,April 2021,1596.0,374.0,85.67,25.72,12.04,10.3,8038.47
Kabupaten Pacitan,Mei 2021,1439.0,47.2,84.52,25.86,14.68,10.58,6590.39
Kabupaten Pacitan,Juni 2021,1986.0,249.1,87.77,25.33,11.71,9.4,9046.42
Kabupaten Pacitan,Juli 2021,2444.0,27.2,85.23,24.39,17.11,10.69,11213.13
Kabupaten Pacitan,Agustus 2021,309.0,93.4,86.84,24.31,18.28,10.66,1424.31
Kabupaten Pacitan,September 2021,329.0,123.9,86.27,24.62,17.93,10.09,1712.19
Kabupaten Pacitan,Oktober 2021,205.0,116.7,84.81,25.06,14.74,10.03,1069.71
Kabupaten Pacitan,November 2021,876.0,455.8,88.9,25.18,10.03,6.48,4548.93
Kabupaten Pacitan,Desember 2021,125.0,308.6,88.03,25.51,12.44,7.68,645.85
Kabupaten Pacitan,Januari 2022,20.76,214.6,84.1,25.56,14.67,8.46,128.68
Kabupaten Pacitan,Februari 2022,3226.83,325.5,85.64,25.59,12.66,7.73,13351.15
Kabupaten Pacitan,Maret 2022,5315.37,299.9,88.0,25.61,11.86,8.74,28860.17
Kabupaten Pacitan,April 2022,1905.57,215.2,87.57,25.57,9.81,9.43,11659.81
Kabupaten Pacitan,Mei 2022,1016.38,307.0,87.03,25.94,10.67,9.21,5065.52
Kabupaten Pacitan,Juni 2022,1757.44,170.4,85.33,25.18,13.56,9.55,8810.05
Kabupaten Pacitan,Juli 2022,2300.01,65.8,84.03,24.61,18.12,10.47,11470.02
Kabupaten Pacitan,Agustus 2022,563.16,82.8,83.48,24.53,17.7,10.09,2806.76
Kabupaten Pacitan,September 2022,449.2,92.5,84.07,24.92,16.97,9.87,2134.27
Kabupaten Pacitan,Oktober 2022,371.33,361.0,87.45,24.66,12.76,7.67,1779.26
Kabupaten Pacitan,November 2022,825.65,425.8,88.53,25.05,11.18,6.97,3984.2
Kabupaten Pacitan,Desember 2022,79.77,392.9,86.39,25.15,13.39,7.9,378.32
Kabupaten Pacitan,Januari 2023,393.6,200.2,85.68,25.32,15.64,8.95,1970.51
Kabupaten Pacitan,Februari 2023,3890.75,322.6,86.11,25.23,16.18,6.47,17220.75
Kabupaten Pacitan,Maret 2023,4706.16,226.0,86.55,25.48,12.29,9.16,25014.4
Kabupaten Pacitan,April 2023,1714.68,176.5,86.4,25.69,12.22,9.2,10312.46
Kabupaten Pacitan,Mei 2023,555.38,148.0,82.97,25.45,15.1,10.33,2914.51
Kabupaten Pacitan,Juni 2023,2531.34,50.9,84.8,25.01,16.26,10.64,13100.51
Kabupaten Pacitan,Juli 2023,1898.33,73.2,84.81,23.59,18.7,10.22,9959.72
Kabupaten Pacitan,Agustus 2023,874.84,9.7,83.42,23.18,19.4,10.91,4590.77
Kabupaten Pacitan,September 2023,188.87,5.5,81.03,23.73,18.78,11.0,1107.08
Kabupaten Pacitan,Oktober 2023,131.21,12.0,80.81,25.56,16.34,11.13,758.3
Kabupaten Pacitan,November 2023,617.53,65.5,82.3,26.37,14.73,10.73,3584.29
Kabupaten Pacitan,Desember 2023,420.71,83.3,78.71,26.37,13.67,10.32,2459.34
Kabupaten Pacitan,Januari 2024,61.91,277.5,86.68,25.9,13.66,8.67,321.31
Kabupaten Pacitan,Februari 2024,44.17,291.1,86.31,26.27,11.83,8.99,226.47
Kabupaten Pacitan,Maret 2024,2540.48,243.0,84.13,26.38,14.16,8.56,10901.71
Kabupaten Pacitan,April 2024,5009.7,186.3,87.5,26.3,13.01,9.44,24184.8
Kabupaten Pacitan,Mei 2024,3330.43,24.8,84.58,25.66,16.56,10.77,16062.1
Kabupaten Pacitan,Juni 2024,649.14,29.7,82.3,25.62,17.27,10.82,3167.94
Kabupaten Pacitan,Juli 2024,414.22,17.3,80.61,24.38,19.43,10.48,2024.01
Kabupaten Pacitan,Agustus 2024,1450.87,13.2,80.35,24.03,18.92,10.85,7074.23
Kabupaten Pacitan,September 2024,442.16,38.1,79.9,25.35,17.03,10.84,2274.74
Kabupaten Pacitan,Oktober 2024,203.6,67.0,81.42,25.83,15.58,10.68,1048.04
Kabupaten Pacitan,November 2024,71.53,359.3,88.8,25.71,11.55,8.74,376.7
Kabupaten Pacitan,Desember 2024,384.64,396.9,89.48,25.49,13.68,6.85,1988.93
Kabupaten Ponorogo,Januari 2018,807.0,261.1,81.45,25.9,11.26,6.94,202.2
Kabupaten Ponorogo,Februari 2018,2219.0,304.9,82.75,25.63,9.61,8.44,4092.37
Kabupaten Ponorogo,Maret 2018,4762.0,115.6,81.1,26.25,10.64,9.75,84787.64
Kabupaten Ponorogo,April 2018,2415.0,69.6,79.4,26.82,14.32,10.67,85947.48
Kabupaten Ponorogo,Mei 2018,1518.0,11.9,70.48,27.32,22.84,10.85,1728.29
Kabupaten Ponorogo,Juni 2018,2221.0,39.5,71.97,26.58,24.76,10.52,19686.87
Kabupaten Ponorogo,Juli 2018,2825.0,1.0,70.9,25.21,28.18,10.83,91559.34
Kabupaten Ponorogo,Agustus 2018,1114.0,0.5,69.19,25.32,27.05,10.93,31102.38
Kabupaten Ponorogo,September 2018,556.0,6.7,67.2,26.5,26.59,10.81,5985.77
Kabupaten Ponorogo,Oktober 2018,431.0,5.3,65.87,27.81,25.58,11.23,1291.15
Kabupaten Ponorogo,November 2018,169.0,194.8,75.93,27.32,18.51,9.62,7586.17
Kabupaten Ponorogo,Desember 2018,275.0,311.8,79.1,26.71,12.62,8.25,43293.52
Kabupaten Ponorogo,Januari 2019,1527.0,478.8,83.58,26.2,11.15,7.67,8211.96
Kabupaten Ponorogo,Februari 2019,2717.0,207.3,83.43,26.4,9.78,8.87,4235.64
Kabupaten Ponorogo,Maret 2019,6150.0,311.4,83.03,26.13,10.51,7.76,49222.47
Kabupaten Ponorogo,April 2019,2976.0,96.6,82.17,26.81,13.26,9.53,95494.03
